Time,Latitude,Longitude,counts
1712988321.08,0,0,20.5
1712988323.07,0,0,30.0
1712988325.08,0,0,26.5
1712988327.06,0,0,26.5
1712988329.07,0,0,26.0
1712988331.07,0,0,28.5
1712988333.08,0,0,27.5
1712988335.08,0,0,27.0
1712988337.06,0,0,27.0
1712988339.07,0,0,32.5
1712988341.07,0,0,26.0
1712988343.08,0,0,25.0
1712988345.07,0,0,24.5
1712988347.05,0,0,24.5
1712988349.07,0,0,22.5
1712988351.07,0,0,30.5
1712988353.08,0,0,23.5
1712988355.06,0,0,23.5
1712988357.08,0,0,27.5
1712988359.12,0,0,29.5
1712988361.07,0,0,31.5
1712988363.08,0,0,26.0
1712988365.05,0,0,26.0
1712988367.08,0,0,19.0
1712988369.07,0,0,20.0
1712988371.07,0,0,26.5
1712988373.07,0,0,29.0
1712988375.05,0,0,29.0
1712988377.07,0,0,25.0
1712988379.08,0,0,27.5
1712988381.08,0,0,21.5
1712988383.07,0,0,26.5
1712988385.07,0,0,26.5
1712988387.08,0,0,22.5
1712988389.07,0,0,28.0
1712988391.07,0,0,32.0
1712988393.05,0,0,32.0
1712988395.07,0,0,27.5
1712988397.07,0,0,20.0
1712988399.07,0,0,28.5
1712988401.07,0,0,23.5
1712988403.05,0,0,23.5
1712988405.07,0,0,26.0
1712988407.07,0,0,28.0
1712988409.08,0,0,30.0
1712988411.07,0,0,31.5
1712988413.06,0,0,31.5
1712988415.08,0,0,22.0
1712988417.07,0,0,31.0
1712988419.08,0,0,23.5
1712988421.05,0,0,23.5
1712988423.08,0,0,26.5
1712988425.07,0,0,34.5
1712988427.07,0,0,20.0
1712988429.08,0,0,32.0
1712988431.06,0,0,32.0
1712988433.07,0,0,25.0
1712988435.07,0,0,26.5
1712988437.07,0,0,25.0
1712988439.07,0,0,26.0
1712988441.05,0,0,26.0
1712988443.07,0,0,23.5
1712988445.08,0,0,28.0
1712988447.07,0,0,22.5
1712988449.05,0,0,22.5
1712988451.08,0,0,29.0
1712988453.08,0,0,19.5
1712988455.07,0,0,18.5
1712988457.07,0,0,27.5
1712988459.05,0,0,27.5
1712988461.07,0,0,34.0
1712988463.07,0,0,24.0
1712988465.07,0,0,22.5
1712988467.07,0,0,27.0
1712988469.05,0,0,27.0
1712988471.07,0,0,23.0
1712988473.07,0,0,22.5
1712988475.08,0,0,25.5
1712988477.06,0,0,25.5
1712988479.07,0,0,29.0
1712988481.07,0,0,26.0
1712988483.08,0,0,31.5
1712988485.08,0,0,34.5
1712988487.05,0,0,34.5
1712988489.07,0,0,22.5
1712988491.07,0,0,27.0
1712988493.07,0,0,29.5
1712988495.07,0,0,21.5
1712988497.06,0,0,21.5
1712988499.08,0,0,23.5
1712988501.08,0,0,24.0
1712988503.12,0,0,27.5
1712988505.09,0,0,22.5
1712988507.05,0,0,22.5
1712988509.1,0,0,31.0
1712988511.07,0,0,26.5
1712988513.07,0,0,31.0
1712988515.06,0,0,31.0
1712988517.08,0,0,24.5
1712988519.08,0,0,25.0
1712988521.07,0,0,22.0
1712988523.07,0,0,25.0
1712988525.07,0,0,25.0
1712988527.08,0,0,27.0
1712988529.07,0,0,22.5
1712988531.07,0,0,31.5
1712988533.07,0,0,28.0
1712988535.05,0,0,28.0
1712988537.07,0,0,23.5
1712988539.07,0,0,21.5
1712988541.07,0,0,23.5
1712988543.05,0,0,23.5
1712988545.07,0,0,23.5
1712988547.07,0,0,27.5
1712988549.07,0,0,24.5
1712988551.07,0,0,27.5
1712988553.05,0,0,27.5
1712988555.08,0,0,25.0
1712988557.08,0,0,20.5
1712988559.08,0,0,27.0
1712988561.08,0,0,28.0
1712988563.05,0,0,28.0
1712988565.08,0,0,24.0
1712988567.08,0,0,27.5
1712988569.08,0,0,33.0
1712988571.05,0,0,33.0
1712988573.08,0,0,26.0
1712988575.08,0,0,24.5
1712988577.07,0,0,23.0
1712988579.07,0,0,27.0
1712988581.05,0,0,27.0
1712988583.07,0,0,26.5
1712988585.08,0,0,31.5
1712988587.07,0,0,22.5
1712988589.08,0,0,24.0
1712988591.05,0,0,24.0
1712988593.08,0,0,25.5
1712988595.08,0,0,32.0
1712988597.08,0,0,25.0
1712988599.05,0,0,25.0
1712988601.07,0,0,25.5
1712988603.07,0,0,26.0
1712988605.07,0,0,25.0
1712988607.12,0,0,31.0
1712988609.05,0,0,31.0
1712988611.07,0,0,22.0
1712988613.12,0,0,32.0
1712988615.08,0,0,28.5
1712988617.07,0,0,31.5
1712988619.06,0,0,31.5
1712988621.08,0,0,26.0
1712988623.07,0,0,22.5
1712988625.08,0,0,24.5
1712988627.07,0,0,31.5
1712988629.05,0,0,31.5
1712988631.08,0,0,30.5
1712988633.08,0,0,30.5
1712988635.07,0,0,24.5
1712988637.08,0,0,31.5
1712988639.05,0,0,31.5
1712988641.08,0,0,24.0
1712988643.07,0,0,28.0
1712988645.07,0,0,28.5
1712988647.05,0,0,28.5
1712988649.08,0,0,34.0
1712988651.07,0,0,25.5
1712988653.07,0,0,24.5
1712988655.07,0,0,26.5
1712988657.05,0,0,26.5
1712988659.08,0,0,19.5
1712988661.07,0,0,31.5
1712988663.07,0,0,22.0
1712988665.06,0,0,22.0
1712988667.08,0,0,25.0
1712988669.08,0,0,33.0
1712988671.08,0,0,24.5
1712988673.07,0,0,25.0
1712988675.05,0,0,25.0
1712988677.07,0,0,25.0
1712988679.08,0,0,27.0
1712988681.08,0,0,25.5
1712988683.07,0,0,22.5
1712988685.06,0,0,22.5
1712988687.08,0,0,34.0
1712988689.08,0,0,25.0
1712988691.07,0,0,25.0
1712988693.07,0,0,30.5
1712988695.05,0,0,30.5
1712988697.08,0,0,27.5
1712988699.07,0,0,20.0
1712988701.08,0,0,27.5
1712988703.05,0,0,27.5
1712988705.08,0,0,22.5
1712988707.07,0,0,22.5
1712988709.08,0,0,19.0
1712988711.08,0,0,30.5
1712988713.05,0,0,30.5
1712988715.08,0,0,38.5
1712988717.08,0,0,24.0
1712988719.07,0,0,25.5
1712988721.07,0,0,24.5
1712988723.05,0,0,24.5
1712988725.08,0,0,21.0
1712988727.08,0,0,26.0
1712988729.08,0,0,22.0
1712988731.07,0,0,22.0
1712988733.08,0,0,23.5
1712988735.08,0,0,27.0
1712988737.07,0,0,24.0
1712988739.07,0,0,32.5
1712988741.08,0,0,32.5
1712988743.07,0,0,21.0
1712988745.08,0,0,21.0
1712988747.07,0,0,22.0
1712988749.07,0,0,28.0
1712988751.05,0,0,28.0
1712988753.07,0,0,27.0
1712988755.08,0,0,27.5
1712988757.07,0,0,25.0
1712988759.05,0,0,25.0
1712988761.07,0,0,25.5
1712988763.12,0,0,28.5
1712988765.07,0,0,32.5
1712988767.07,0,0,26.0
1712988769.06,0,0,26.0
1712988771.07,0,0,25.0
1712988773.07,0,0,17.5
1712988775.08,0,0,23.0
1712988777.07,0,0,27.5
1712988779.05,0,0,27.5
1712988781.08,0,0,17.5
1712988783.09,0,0,30.0
1712988785.08,0,0,22.0
1712988787.07,0,0,32.5
1712988789.07,0,0,32.5
1712988791.07,0,0,31.5
1712988793.07,0,0,29.0
1712988795.07,0,0,29.5
1712988797.08,0,0,30.5
1712988799.05,0,0,30.5
1712988801.07,0,0,28.5
1712988803.07,0,0,30.0
1712988805.07,0,0,25.0
1712988807.05,0,0,25.0
1712988809.08,0,0,26.5
1712988811.07,0,0,28.0
1712988813.07,0,0,23.0
1712988815.08,0,0,25.0
1712988817.06,0,0,25.0
1712988819.07,0,0,21.5
1712988821.07,0,0,31.0
1712988823.07,0,0,27.5
1712988825.05,0,0,27.5
1712988827.08,0,0,29.5
1712988829.07,0,0,25.5
1712988831.07,0,0,31.5
1712988833.08,0,0,28.0
1712988835.05,0,0,28.0
1712988837.08,0,0,26.5
1712988839.08,0,0,24.0
