Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712963986.18,0,0,36.2,0.6,2.0,2.0,21.967851562499998,35.05672177943948,996.9952228511096,136.21967624871328,450821.6
1712963991.09,0,0,31.2,0.6,2.0,2.0,21.872578124999997,35.23976686941819,996.9795247550079,136.35209721360388,451240.6
1712963996.13,0,0,29.6,0.0,2.0,2.0,21.8248046875,35.37472253829771,996.9717910889555,136.41733511487297,451119.6
1712964001.1,0,0,28.4,0.0,2.0,2.0,21.794492187499998,35.43282958282089,996.9629260299382,136.49211718840934,453361.2
1712964006.13,0,0,30.4,0.0,2.0,2.0,21.675390625,35.53533365992895,996.962137222866,136.49877127520432,455442.2
1712964011.1,0,0,28.4,0.0,2.0,2.0,21.5944921875,35.67673786240725,996.9724738283361,136.4115756782146,455689.4
1712964016.13,0,0,33.6,1.0,3.0,3.0,21.583125,35.75436240104723,996.9610309486976,136.50810350713365,455754.8
1712964021.1,0,0,29.4,1.0,3.0,3.0,21.6100390625,35.77690883995025,996.9629997859096,136.49149502892095,456430.0
1712964026.16,0,0,29.4,1.0,3.0,3.0,21.6373046875,35.798320100537694,996.9679911086869,136.44939008284678,458415.2
1712964031.1,0,0,25.0,1.0,3.0,3.0,21.698203125,35.794735646073384,996.9781313288728,136.36385157693516,457609.8
1712964036.13,0,0,33.2,1.0,3.0,3.0,21.77234375,35.738346934705014,996.9894102303009,136.26870830316608,457798.6
1712964041.1,0,0,28.2,1.0,3.0,3.0,21.839726562499997,35.66135043125463,996.9939069988441,136.23077603303994,456374.6
1712964046.12,0,0,31.2,2.0,3.0,3.0,21.919765624999997,35.570318981771244,996.9870006908528,136.28903387313076,456869.6
1712964051.09,0,0,30.8,2.0,3.0,3.0,21.9977734375,35.48148000707041,996.9865923815626,136.29247822978851,458046.2
1712964056.12,0,0,33.8,2.0,3.0,3.0,22.072343749999998,35.385309807693105,996.9886513794339,136.2751095847746,456989.6
1712964061.09,0,0,25.8,2.0,3.0,3.0,22.13875,35.296613765295895,997.0016539294007,136.16542761592305,455566.4
1712964066.13,0,0,33.8,2.0,3.0,3.0,22.213671875,35.191184388956785,996.9828276903656,136.3242354687868,456493.4
1712964071.08,0,0,33.8,2.0,3.0,3.0,22.256289062500002,35.13546045851062,996.9631641770682,136.4901082730741,458604.8
1712964076.19,0,0,32.2,2.0,2.6,2.6,22.3030078125,35.083655547700964,996.955761112473,136.55255820951908,458605.6
1712964081.1,0,0,30.2,2.0,2.6,2.6,22.19828125,35.11592421344217,996.9504819307343,136.59709173028483,459543.2
1712964086.13,0,0,35.0,2.0,2.0,2.0,22.099453125000004,35.22958816962427,996.9536796911873,136.5701162874987,460924.2
1712964091.1,0,0,32.0,2.0,2.0,2.0,21.98921875,35.33285325918566,996.9611282442893,136.50728266494121,462699.2
1712964096.13,0,0,34.8,1.4,2.0,2.0,21.86796875,35.45623166268737,996.9632700561984,136.48921507213075,464100.0
1712964101.1,0,0,31.8,1.4,2.0,2.0,21.7391015625,35.60008470423623,996.956490039716,136.54640902765874,467179.6
1712964106.12,0,0,31.2,1.4,2.0,2.0,21.6548828125,35.769444879846255,996.9561991264878,136.5488631421809,468043.8
1712964111.11,0,0,30.6,1.4,2.0,2.0,21.601406250000004,35.91601242552731,996.964062324672,136.48253181440876,466214.0
1712964116.09,0,0,30.6,1.2,2.0,2.0,21.601406250000004,35.91601242552731,996.964062324672,136.48253181440876,466214.0
1712964121.14,0,0,29.0,1.2,2.0,2.0,21.5751171875,36.03234877348485,996.9596007055012,136.52016855876818,467699.4
1712964126.15,0,0,26.8,1.0,1.4,1.4,21.559101562499997,36.09792491496114,996.9504277400167,136.59754882867003,467893.4
1712964131.1,0,0,26.2,1.0,1.4,1.4,21.53046875,36.18823746960608,996.9628434761053,136.49281358725528,469917.8
1712964136.12,0,0,26.6,1.0,2.0,2.0,21.4939453125,36.27075672276012,996.9806740131695,136.3424027300696,469130.8
